Sender;Receiver 1;Receiver 2;;Index 1;Index 2;Value 1;Value 2;Name
480;a0;79;30;1;0;0;0;TBD
480;a0;79;10;0;0;0;0;TBD
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a0;79;5d;0;0;0;0;TBD
480;a6;79;fe;1;0;0;0;TBD
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
180;66;79;fe;1;0;0;0;TBD
480;a0;79;30;1;0;0;0;TBD
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a1;0;16;0;0;0;0;<REQUEST>
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
180;e2;0;fa;0;16;0;f5;RUECKLAUFISTTEMP
480;a1;0;16;0;0;0;0;<REQUEST>
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a0;79;10;0;0;0;0;TBD
480;a0;79;5d;0;0;0;0;TBD
480;a1;0;16;0;0;0;0;<REQUEST>
500;90;0;1;0;0;0;0;TBD
500;90;0;14;0;f2;0;0;TBD
500;90;0;60;0;0;0;0;TBD
480;a0;79;30;1;0;0;0;TBD
480;a0;79;10;0;0;0;0;TBD
500;90;0;61;0;0;0;0;TBD
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a0;79;5d;0;0;0;0;TBD
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
180;66;79;fe;1;0;0;0;TBD
480;a6;79;fe;1;0;0;0;TBD
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a0;79;10;0;0;0;0;TBD
480;a0;79;5d;0;0;0;0;TBD
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
500;90;0;1;0;0;0;0;TBD
500;90;0;14;0;f2;0;0;TBD
500;90;0;60;0;0;0;0;TBD
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a0;79;30;1;0;0;0;TBD
480;a0;79;fa;0a;20;0;0;SAMMEL_RELAISSTATUS
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a0;79;fa;0a;20;0;0;SAMMEL_RELAISSTATUS
480;a0;79;fa;0a;20;0;0;SAMMEL_RELAISSTATUS
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a1;0;16;0;0;0;0;<REQUEST>
480;a0;79;fa;0a;20;0;0;SAMMEL_RELAISSTATUS
480;a0;79;fa;1;22;15;0;TAG
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
180;e2;0;fa;0;0c;0;a7;AUSSENTEMP
480;a0;79;fa;1;22;15;0;TAG
480;a0;79;fa;1;23;3;0;MONAT
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a0;79;fa;1;23;3;0;MONAT
480;a0;79;fa;1;23;3;0;MONAT
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a0;79;fa;1;24;0c;0;JAHR
480;a0;79;fa;1;25;0b;0;STUNDE
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a0;79;fa;1;26;16;0;MINUTE
480;a0;79;fa;1;26;17;0;MINUTE
480;a1;0;16;0;0;0;0;<REQUEST>
180;e2;0;fa;0;16;0;f5;RUECKLAUFISTTEMP
480;a0;79;fa;1;26;19;0;MINUTE
480;a0;79;fa;1;26;1a;0;MINUTE
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a0;79;fa;1;26;1c;0;MINUTE
480;a0;79;fa;1;26;1f;0;MINUTE
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a0;79;fa;1;26;20;0;MINUTE
480;a0;79;fa;1;26;21;0;MINUTE
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a0;79;fa;1;26;22;0;MINUTE
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a0;79;fa;4e;30;0;0;n/a
480;a0;79;fa;4e;30;0;0;n/a
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a0;79;fa;4e;30;0;0;n/a
180;a0;79;0c;0;a6;0;0;n/a
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
500;90;0;1;0;0;0;0;TBD
180;a0;79;0c;0;a6;0;0;n/a
180;a0;79;0c;0;a6;0;0;n/a
500;90;0;14;0;f2;0;0;TBD
500;90;0;60;0;0;0;0;TBD
180;a0;79;0c;0;a6;0;0;n/a
180;a0;79;0c;0;a6;0;0;n/a
500;90;0;61;0;0;0;0;TBD
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
180;a0;79;0c;0;a6;0;0;n/a
180;a0;79;0c;0;a6;0;0;n/a
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
500;90;0;1;0;0;0;0;TBD
500;90;0;14;0;f0;0;0;ONL_CODENUMMER
180;a0;79;0c;0;a6;0;0;n/a
180;a0;79;0c;0;a6;0;0;n/a
480;a0;0;5e;0;0;0;0;TBD
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a1;0;16;0;0;0;0;<REQUEST>
480;a1;0;16;0;0;0;0;<REQUEST>
180;a0;79;0c;0;a6;0;0;n/a
180;a0;79;0c;0;a6;0;0;n/a
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
180;a0;79;0c;0;a6;0;0;n/a
180;a0;79;0c;0;a6;0;0;n/a
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
500;90;0;14;0;ef;0;0;LOAD_STANDARD
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
180;e2;0;fa;0;16;0;f6;RUECKLAUFISTTEMP
480;a1;0;16;0;0;0;0;<REQUEST>
480;a1;0;16;0;0;0;0;<REQUEST>
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
500;92;0;16;0;cc;0;0;HEIZPROG_3_SCHALTPKT_13
480;a1;0;16;0;0;0;0;<REQUEST>
480;a1;0;16;0;0;0;0;<REQUEST>
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
180;a0;79;0c;0;a6;0;0;n/a
180;a0;79;0c;0;a6;0;0;n/a
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
180;a0;79;0c;0;a6;0;0;n/a
180;a0;79;0c;0;a6;0;0;n/a
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
180;a0;79;0c;0;a6;0;0;n/a
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
180;a0;79;0c;0;a6;0;0;n/a
180;a0;79;0c;0;a6;0;0;n/a
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
180;e2;0;3;1;e0;0;0;FUEHLERFROSTSCHUTZ
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
500;96;0;fe;1;0;0;0;TBD
480;a7;0;fe;1;0;0;0;EVU Freigabe?
480;a0;0;fa;1;9a;1d;0;SOFTWARE_VERSION
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
601;66;1;fe;1;0;0;0;TBD
602;66;2;fe;1;0;0;0;TBD
180;c6;3;fe;1;0;0;0;TBD
480;a0;0;fa;1;9a;1d;0;SOFTWARE_VERSION
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
180;a0;79;0c;0;a7;0;0;n/a
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
180;a0;79;0c;0;a7;0;0;n/a
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
180;e2;0;13;1;e0;0;0;FUEHLERFROSTSCHUTZ
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
