Sender;Receiver 1;Receiver 2;;Index 1;Index 2;Value 1;Value 2;Name
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f4;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
180;e2;0;0e;1;ce;0;0;STILLSTANDZEIT_2
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
180;e2;0;fa;1;d4;fe;70;QUELLE_IST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
500;96;0;fe;1;0;0;0;TBD
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
480;a7;0;fe;1;0;0;0;EVU Freigabe?
480;a0;0;fa;1;9a;1d;0;SOFTWARE_VERSION
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
601;66;1;fe;1;0;0;0;TBD
602;66;2;fe;1;0;0;0;TBD
500;97;0;fe;1;0;0;0;TBD
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a7;0;0;n/a
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
500;92;0;fa;1;d6;0;f3;WPVORLAUFIST
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
180;a0;79;0c;0;a7;0;0;n/a
180;a0;79;0c;0;a8;0;0;n/a
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
180;a0;79;0c;0;a8;0;0;n/a
500;92;0;fa;1;d6;0;f2;WPVORLAUFIST
180;e2;0;fa;1;d7;0;d3;HILFSKESSELSOLL
480;a1;0;fa;1;99;0;0;SOFTWARE_NUMMER
500;92;0;fa;1;99;0;43;SOFTWARE_NUMMER
480;a1;0;fa;1;d6;0;0;WPVORLAUFIST
180;e2;0;fa;2;ca;80;0;MATERIALNUMMER_HIGH
180;e2;0;fa;2;ca;80;0;MATERIALNUMMER_HIGH
180;a0;79;0c;0;a8;0;0;n/a
180;a0;79;0c;0;a8;0;0;n/a
180;e2;0;fa;2;ca;80;0;MATERIALNUMMER_HIGH
480;a0;0;fa;3;e7;0;0;QUELLENPUMPEN_STATUS
180;a0;79;0c;0;a8;0;0;n/a
180;a0;79;0c;0;a8;0;0;n/a
480;a0;0;fa;3;e7;0;0;QUELLENPUMPEN_STATUS
480;a1;0;fa;3;59;0;0;HARDWARE_NUMMER
500;92;0;fa;3;59;80;0;HARDWARE_NUMMER
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
180;a0;79;0c;0;a8;0;0;n/a
180;a0;79;0c;0;a8;0;0;n/a
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
180;a0;79;0c;0;a8;0;0;n/a
180;a0;79;0c;0;a8;0;0;n/a
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
180;a0;79;0c;0;a8;0;0;n/a
180;a0;79;0c;0;a8;0;0;n/a
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
180;a0;79;0c;0;a8;0;0;n/a
180;a0;79;0c;0;a8;0;0;n/a
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
180;a0;79;0c;0;a8;0;0;n/a
180;a0;79;0c;0;a8;0;0;n/a
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
180;a0;79;0c;0;a8;0;0;n/a
180;a0;79;0c;0;a8;0;0;n/a
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
180;a0;79;0c;0;a8;0;0;n/a
180;a0;79;0c;0;a8;0;0;n/a
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
180;a0;79;0c;0;a8;0;0;n/a
180;a0;79;0c;0;a8;0;0;n/a
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
180;a0;79;0c;0;a8;0;0;n/a
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
180;a0;79;0c;0;a8;0;0;n/a
180;a0;79;0c;0;a8;0;0;n/a
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
180;a0;79;0c;0;a8;0;0;n/a
180;a0;79;0c;0;a8;0;0;n/a
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
180;a0;79;0c;0;a8;0;0;n/a
180;a0;79;0c;0;a8;0;0;n/a
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
180;a0;79;0c;0;a8;0;0;n/a
180;a0;79;0c;0;a8;0;0;n/a
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;5f;4;0;0;0;Absenkbetrieb?
480;a0;0;fa;5;df;0;0;TEMPORALE_LUEFTUNGSSTUFE_DAUER
180;e2;0;fa;6;73;80;0;TEST_OBJEKT_50
180;e2;0;fa;6;73;80;0;TEST_OBJEKT_50
180;e2;0;fa;6;73;80;0;TEST_OBJEKT_50
500;90;0;fa;6;39;0;0;MFR_HYSTERESE2_28
180;a0;79;0c;0;a8;0;0;n/a
180;a0;79;0c;0;a8;0;0;n/a
180;e2;0;fa;6;73;80;0;TEST_OBJEKT_50
180;e2;0;fa;6;73;80;0;TEST_OBJEKT_50
180;e2;0;fa;6;73;80;0;TEST_OBJEKT_50
180;a0;79;0c;0;a8;0;0;n/a
180;a0;79;0c;0;a8;0;0;n/a
180;e2;0;fa;6;73;80;0;TEST_OBJEKT_50
180;e2;0;fa;6;74;80;0;TEST_OBJEKT_51
180;e2;0;fa;6;73;80;0;TEST_OBJEKT_50
180;e2;0;fa;6;73;80;0;TEST_OBJEKT_50
180;e2;0;fa;6;73;80;0;TEST_OBJEKT_50
500;90;0;fa;6;39;0;0;MFR_HYSTERESE2_28
180;e2;0;fa;6;73;80;0;TEST_OBJEKT_50
180;e2;0;fa;6;73;80;0;TEST_OBJEKT_50
180;e2;0;fa;6;73;80;0;TEST_OBJEKT_50
500;92;0;fa;7;a8;0;8;VERDICHTER
480;a1;0;fa;7;a8;0;0;VERDICHTER
180;a0;79;fa;1;d7;0;d3;HILFSKESSELSOLL / RŸcklaufsoll?
180;a0;79;fa;1;d7;0;d3;HILFSKESSELSOLL / RŸcklaufsoll?
500;92;0;fa;7;a8;0;8;VERDICHTER
500;92;0;fa;7;a8;0;8;VERDICHTER
480;a1;0;fa;7;a8;0;0;VERDICHTER
180;a0;79;fa;1;d7;0;d3;HILFSKESSELSOLL / RŸcklaufsoll?
180;a0;79;fa;1;d7;0;d3;HILFSKESSELSOLL / RŸcklaufsoll?
500;92;0;fa;7;a8;0;8;VERDICHTER
480;a1;0;fa;7;a8;0;0;VERDICHTER
500;92;0;fa;7;a8;0;8;VERDICHTER
480;a1;0;fa;7;a8;0;0;VERDICHTER
500;92;0;fa;7;a8;0;8;VERDICHTER
480;a1;0;fa;7;a8;0;0;VERDICHTER
500;92;0;fa;7;a8;0;8;VERDICHTER
480;a1;0;fa;7;a8;0;0;VERDICHTER
500;92;0;fa;7;a8;0;8;VERDICHTER
480;a1;0;fa;7;a8;0;0;VERDICHTER
500;92;0;fa;7;a8;0;8;VERDICHTER
480;a1;0;fa;7;a8;0;0;VERDICHTER
180;a0;79;fa;1;d7;0;d3;HILFSKESSELSOLL / RŸcklaufsoll?
180;a0;79;fa;1;d7;0;d4;HILFSKESSELSOLL / RŸcklaufsoll?
500;92;0;fa;7;a8;0;8;VERDICHTER
500;92;0;fa;7;a8;0;8;VERDICHTER
180;a0;79;fa;1;d7;0;d4;HILFSKESSELSOLL / RŸcklaufsoll?
180;a0;79;fa;1;d7;0;d4;HILFSKESSELSOLL / RŸcklaufsoll?
480;a1;0;fa;7;a8;0;0;VERDICHTER
500;92;0;fa;7;a8;0;8;VERDICHTER
480;a1;0;fa;7;a8;0;0;VERDICHTER
500;92;0;fa;7;a8;0;8;VERDICHTER
480;a1;0;fa;7;a8;0;0;VERDICHTER
480;a1;0;fa;7;a8;0;0;VERDICHTER
500;92;0;fa;7;a8;0;8;VERDICHTER
480;a1;0;fa;7;a8;0;0;VERDICHTER
500;92;0;fa;7;a8;0;8;VERDICHTER
480;a1;0;fa;7;cb;0;0;PARAMETERSATZ
480;a1;0;fa;7;fc;0;0;LZ_VERD_1_HEIZBETRIEB
